t,r0_x,r0_y,r1_x,r1_y,rdot1_x,rdot1_y,rddot1_x,rddot1_y,r2_x,r2_y,rdot2_x,rdot2_y,rddot2_x,rddot2_y,r3_x,r3_y,rdot3_x,rdot3_y,rddot3_x,rddot3_y,r4_x,r4_y,rdot4_x,rdot4_y,rddot4_x,rddot4_y,r5_x,r5_y,rdot5_x,rdot5_y,rddot5_x,rddot5_y,r6_x,r6_y,rdot6_x,rdot6_y,rddot6_x,rddot6_y,r7_x,r7_y
0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-9.81,10.0,0.0,0.0,0.0,0.0,-9.81,15.0,0.0,0.0,0.0,0.0,-9.81,20.0,0.0,0.0,0.0,0.0,-9.81,25.0,0.0,0.0,0.0,0.0,-9.81,30.0,0.0,0.0,0.0,0.0,-9.81,35.0,0.0
0.01,0.0,0.0,4.999999999996046,-0.0004904999999998196,-2.3940810126873198e-09,-0.09809999999984075,-1.2025558326901809e-06,-9.80999999988201,10.0,-0.0004905000000000005,-2.837178859428334e-13,-0.09809999999999988,-1.9770296511028111e-10,-9.81,15.0,-0.0004905000000000005,0.0,-0.09809999999999988,0.0,-9.81,20.0,-0.0004905000000000005,0.0,-0.09809999999999988,0.0,-9.81,25.0,-0.0004905000000000005,2.8372137070630826e-13,-0.09809999999999988,1.977029651102811e-10,-9.81,30.000000000003954,-0.0004904999999998196,2.3940809784064596e-09,-0.09809999999984075,1.202555832690181e-06,-9.80999999988201,35.0,0.0
0.02,0.0,0.0,4.999999962837742,-0.001961998930951979,-8.091393766515994e-07,-0.19619996837461165,-1.5608412420502257e-05,-9.809999993176527,9.999999998451177,-0.001961999999999988,8.765968418648016e-09,-0.19619999999999732,-1.7035845916197577e-06,-9.81,14.99999999999292,-0.001962000000000001,-2.26185002044228e-09,-0.19620000000000004,-7.637909751490927e-08,-9.81,20.00000000000708,-0.001962000000000001,2.2618506127198472e-09,-0.19620000000000004,7.637909751490927e-08,-9.81,25.000000001548823,-0.001961999999999988,-8.765969375890311e-09,-0.19619999999999732,1.7035846471309106e-06,-9.81,30.00000003716226,-0.00196199893095198,8.091393768321662e-07,-0.19619996837461165,1.5608412337235527e-05,-9.809999993176527,35.0,0.0
0.03,0.0,0.0,4.999999887195055,-0.00441449654915998,-2.7722622764958087e-06,-0.29429990623035623,-8.638299001537704e-05,-9.809999918951082,9.999999995507237,-0.00441449999999996,6.532690523424639e-08,-0.2942999999999911,-5.192139113639237e-06,-9.809999999999997,14.999999999976636,-0.004414500000000004,-7.39873913278385e-09,-0.2943,-2.2113361162190858e-07,-9.81,20.000000000023363,-0.004414500000000004,7.398741204562663e-09,-0.2943,2.2113361162190868e-07,-9.81,25.00000000449276,-0.00441449999999996,-6.532690878603327e-08,-0.2942999999999911,5.192139141394815e-06,-9.809999999999997,30.000000112804944,-0.004414496549159981,2.772262277509551e-06,-0.29429990623035623,8.638299004313263e-05,-9.809999918951082,35.0,0.0
0.04,0.0,0.0,4.999999833383862,-0.007847994736415927,-5.524469039194874e-06,-0.39239987399654985,-0.00029156834907344015,-9.809999529710868,9.999999994491912,-0.007847999999999937,1.813589030402443e-07,-0.39239999999998654,-7.781810483242115e-06,-9.809999999999992,14.999999999963752,-0.007848000000000006,-1.1325394552515357e-08,-0.3924,-2.699671600377291e-07,-9.81,20.00000000003625,-0.007848000000000006,1.1325398048149659e-08,-0.3924,2.69967160037729e-07,-9.81,25.000000005508088,-0.007847999999999937,-1.8135890912128513e-07,-0.39239999999998654,7.781810594264424e-06,-9.809999999999992,30.00000016661614,-0.007847994736415927,5.524469041019038e-06,-0.39239987399654985,0.0002915683488791511,-9.809999529710868,35.0,0.0
0.05,0.0,0.0,4.999999804574466,-0.012262494447751189,-1.0396369702193343e-05,-0.49049989092761936,-0.0007324482509586987,-9.80999818007595,9.999999996994264,-0.012262499999999931,3.234264786628947e-07,-0.4904999999999865,-9.472593940813134e-06,-9.80999999999999,14.999999999962183,-0.012262500000000004,-1.1523170403307157e-08,-0.4905,-1.4461437611777852e-07,-9.81,20.000000000037815,-0.012262500000000004,1.1523174584649638e-08,-0.4905,1.4461437611777854e-07,-9.81,25.000000003005734,-0.012262499999999931,-3.234264860331501e-07,-0.4904999999999865,9.472594079591019e-06,-9.80999999999999,30.000000195425535,-0.012262494447751189,1.0396369704426949e-05,-0.49049989092761936,0.0007324482507644094,-9.80999818007595,35.0,0.0
0.06,0.0,0.0,4.999999745567453,-0.017657995678185486,-2.0440977268976092e-05,-0.5885999340584458,-0.001533425505329639,-9.809994539130352,10.000000002817446,-0.017657999999999948,4.129958767311549e-07,-0.5885999999999922,-1.3004624178638183e-05,-9.80999999999999,14.999999999974955,-0.017657999999999997,-7.109348004832921e-09,-0.5885999999999998,1.446289198706004e-07,-9.81,20.000000000025043,-0.017657999999999997,7.1093517288677636e-09,-0.5885999999999998,-1.4462875333714687e-07,-9.81,24.999999997182556,-0.017657999999999948,-4.1299588345733575e-07,-0.5885999999999922,1.3004623873326826e-05,-9.80999999999999,30.000000254432546,-0.01765799567818549,2.0440977270995066e-05,-0.5885999340584457,0.001533425505523928,-9.809994539130352,35.0,0.0
0.07,0.0,0.0,4.999999542793696,-0.024034497462726928,-4.0433707709068334e-05,-0.6866999382043653,-0.0028420162525391334,-9.809986226426705,10.00000000997869,-0.024034499999999993,3.2643506967668696e-07,-0.6867000000000025,-2.3858174702551976e-05,-9.809999999999988,15.00000000000019,-0.02403449999999999,1.1628641272304521e-09,-0.6866999999999999,4.989059155837128e-07,-9.81,19.999999999999808,-0.02403449999999999,-1.162862130754486e-09,-0.6866999999999999,-4.989056935391087e-07,-9.81,24.999999990021312,-0.024034499999999993,-3.264350736137529e-07,-0.6867000000000025,2.3858174424996196e-05,-9.809999999999988,30.000000457206305,-0.024034497462726928,4.043370771018064e-05,-0.6866999382043653,0.0028420162525391313,-9.809986226426705,35.0,0.0
0.08,0.0,0.0,4.999999024314352,-0.03139199787637192,-7.687237995803551e-05,-0.7847997959611676,-0.004828839881260499,-9.809969371703017,10.00000001470932,-0.03139200000000004,-1.0498624226614204e-07,-0.7848000000000145,-5.025365849349207e-05,-9.80999999999998,15.000000000031118,-0.03139199999999996,1.0904330281202675e-08,-0.7847999999999997,7.30798253089568e-07,-9.81,19.999999999968882,-0.03139199999999996,-1.090433113213924e-08,-0.7847999999999997,-7.307983086007187e-07,-9.81,24.99999998529068,-0.03139200000000004,1.0498624299348406e-07,-0.7848000000000145,5.025365863226996e-05,-9.80999999999998,30.000000975685648,-0.03139199787637192,7.68723799576363e-05,-0.7847997959611674,0.00482883988117723,-9.809969371703017,35.0,0.0
0.09,0.0,0.0,4.999997959820864,-0.039730494034105286,-0.00013797721591748345,-0.8828993577050979,-0.007687602834999666,-9.809938098398874,10.000000011454745,-0.03973050000000007,-1.0950966310602605e-06,-0.882900000000023,-0.00010315162789146399,-9.809999999999878,15.000000000056067,-0.03973049999999994,1.808998754940029e-08,-0.8828999999999991,5.64327250296214e-07,-9.81,19.999999999943935,-0.03973049999999994,-1.8089991939572275e-08,-0.8828999999999991,-5.643273613185158e-07,-9.81,24.999999988545255,-0.03973050000000007,1.0950966375760553e-06,-0.882900000000023,0.00010315162805799754,-9.809999999999878,30.000002040179137,-0.03973049403410528,0.00013797721591521017,-0.8828993577050976,0.007687602834944157,-9.809938098398874,35.0,0.0
