t,r0_x,r0_y,rdot0_x,rdot0_y,rddot0_x,rddot0_y,r1_x,r1_y,rdot1_x,rdot1_y,rddot1_x,rddot1_y,r2_x,r2_y,rdot2_x,rdot2_y,rddot2_x,rddot2_y,r3_x,r3_y,rdot3_x,rdot3_y,rddot3_x,rddot3_y,r4_x,r4_y,rdot4_x,rdot4_y,rddot4_x,rddot4_y,rLeft_x,rLeft_y,rRight_x,rRight_y
0.0,6.0,0.0,0.0,0.0,0.0,-9.81,12.0,0.0,0.0,0.0,0.0,-9.81,18.0,0.0,0.0,0.0,0.0,-9.81,24.0,0.0,0.0,0.0,0.0,-9.81,30.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,36.0,0.0
0.01,5.999999999996046,-0.0004904999999998493,-2.393966686613272e-09,-0.09809999999986724,-1.2024767981336625e-06,-9.80999999990168,12.0,-0.0004904999999999986,-3.4060630761830657e-13,-0.09809999999999988,-2.372502194704538e-10,-9.81,18.0,-0.0004904999999999986,0.0,-0.09809999999999988,0.0,-9.81,24.0,-0.0004904999999999986,3.405433986061859e-13,-0.09809999999999988,2.372502194704538e-10,-9.81,30.000000000003954,-0.0004904999999998493,2.393966665848772e-09,-0.09809999999986724,1.2024767981336625e-06,-9.80999999990168,0.0,0.0,36.0,0.0
0.02,5.999999963448332,-0.0019619991122908583,-8.141427114691166e-07,-0.19619997372560832,-1.4972115471386103e-05,-9.809999994423313,11.999999998148093,-0.00196199999999999,1.2693133359659102e-08,-0.19619999999999777,-1.970871238226522e-06,-9.81,18.0,-0.001962000000000002,3.017658584096667e-17,-0.19620000000000004,-1.1990408673892625e-13,-9.81,24.000000001851905,-0.00196199999999999,-1.2693133577433017e-08,-0.19619999999999777,1.9708714780346963e-06,-9.81,30.00000003655167,-0.0019619991122908583,8.141427116677515e-07,-0.19619997372560832,1.497211535148202e-05,-9.809999994423313,0.0,0.0,36.0,0.0
0.03,5.999999888961515,-0.004414497133706171,-2.8032730539860614e-06,-0.29429992205497757,-8.443642985496415e-05,-9.809999933211177,11.999999994630679,-0.004414499999999965,8.550584492320384e-08,-0.2942999999999927,-6.017990577327726e-06,-9.809999999999997,18.0,-0.004414500000000005,8.889514908878621e-17,-0.2943,-1.1990408676539602e-13,-9.81,24.00000000536932,-0.004414499999999965,-8.550584569125053e-08,-0.2942999999999927,6.017990817135901e-06,-9.809999999999997,30.000000111038485,-0.004414497133706171,2.803273055012391e-06,-0.29429992205497757,8.443642973506011e-05,-9.809999933211177,0.0,0.0,36.0,0.0
0.04,5.999999835538532,-0.007847995625861038,-5.6044126095544055e-06,-0.39239989515178825,-0.00028861395798608354,-9.809999610102274,11.999999993424405,-0.007847999999999945,2.2852503349782085e-07,-0.39239999999998887,-9.078616667481155e-06,-9.809999999999993,18.0,-0.00784800000000001,1.1230503367988126e-16,-0.39239999999999997,7.993605798476951e-14,-9.81,24.000000006575597,-0.007847999999999945,-2.285250349537429e-07,-0.39239999999998887,9.078616467641004e-06,-9.809999999999993,30.00000016446147,-0.007847995625861038,5.604412611662306e-06,-0.3923998951517883,0.0002886139581059876,-9.809999610102274,0.0,0.0,36.0,0.0
0.05,5.999999805724325,-0.012262495381308336,-1.0533145100911764e-05,-0.49049990901133955,-0.0007287428541515599,-9.809998487247196,11.99999999642872,-0.01226249999999994,3.9920731686721345e-07,-0.4904999999999889,-1.1227986864104566e-05,-9.809999999999992,18.0,-0.01226250000000001,6.829165463277086e-17,-0.4905,0.0,-9.81,24.00000000357128,-0.01226249999999994,-3.992073189922437e-07,-0.4904999999999889,1.1227986864104568e-05,-9.809999999999992,30.000000194275675,-0.012262495381308336,1.0533145104113303e-05,-0.4904999090113396,0.0007287428541515599,-9.809998487247196,0.0,0.0,36.0,0.0
0.06,5.999999744401804,-0.01765799639592946,-2.0610563779405445e-05,-0.5885999445928118,-0.0015281381306711216,-9.809995456955514,12.000000003404583,-0.01765799999999995,5.024616027655304e-07,-0.5885999999999936,-1.5744441741594693e-05,-9.809999999999992,18.0,-0.017658,-4.253459202861901e-17,-0.5885999999999999,5.293955920339377e-23,-9.81,23.999999996595417,-0.01765799999999995,-5.024616054513556e-07,-0.5885999999999936,1.5744441701626654e-05,-9.809999999999992,30.000000255598195,-0.01765799639592946,2.061056378352804e-05,-0.588599944592812,0.0015281381307910265,-9.809995456955514,0.0,0.0,36.0,0.0
0.07,5.999999538791839,-0.024034497868934364,-4.056327142499254e-05,-0.6866999478192668,-0.0028321876774380058,-9.80998854123728,12.00000001197446,-0.02403449999999999,3.9064908887736503e-07,-0.6867000000000022,-2.9109424909897085e-05,-9.80999999999999,18.0,-0.024034500000000004,-1.8683832927495631e-16,-0.6866999999999999,-2.117582368135751e-22,-9.81,23.99999998802554,-0.02403449999999999,-3.906490919929506e-07,-0.6867000000000022,2.91094250298012e-05,-9.80999999999999,30.000000461208163,-0.024034497868934364,4.056327142973611e-05,-0.686699947819267,0.0028321876771981967,-9.80998854123728,0.0,0.0,36.0,0.0
0.08,5.999999018453262,-0.03139199820286148,-7.68233803462397e-05,-0.7847998295776469,-0.004808345263393321,-9.809974529075742,12.00000001762232,-0.03139200000000003,-1.364167371622428e-07,-0.784800000000012,-6.100748265396072e-05,-9.809999999999983,18.0,-0.03139199999999998,-2.985591990715017e-16,-0.7847999999999996,0.0,-9.81,23.99999998237768,-0.03139200000000003,1.3641673370382973e-07,-0.784800000000012,6.100748257402465e-05,-9.809999999999983,30.000000981546737,-0.03139199820286148,7.682338035123386e-05,-0.784799829577647,0.004808345263553192,-9.80997452907574,0.0,0.0,36.0,0.0
0.09,5.999997955282874,-0.03973049500357781,-0.00013752851238032333,-0.8828994657187756,-0.0076461193289817575,-9.809948551481485,12.000000013693638,-0.03973050000000006,-1.331470097767806e-06,-0.882900000000019,-0.0001243262641662473,-9.809999999999897,18.0,-0.03973049999999996,-2.7891186237811107e-16,-0.8828999999999991,-7.99360573494948e-14,-9.81,23.99999998630636,-0.03973050000000006,1.331470093942571e-06,-0.882900000000019,0.00012432626424618333,-9.809999999999897,30.000002044717125,-0.03973049500357781,0.00013752851238518445,-0.882899465718776,0.007646119329061694,-9.809948551481485,0.0,0.0,36.0,0.0
0.1,5.999996063515436,-0.04904998508027889,-0.00023252179889302982,-0.9809986970573586,-0.011557056172679539,-9.809903594407327,11.9999999913954,-0.04905000000000007,-3.4997929254033973e-06,-0.9810000000000176,-0.00023515652189996306,-9.809999999999414,18.0,-0.049049999999999934,3.614000850768943e-18,-0.980999999999999,1.1990408687127514e-13,-9.81,24.0000000086046,-0.04905000000000007,3.4997929210095994e-06,-0.9810000000000176,0.00023515652166015478,-9.809999999999414,30.000003936484564,-0.04904998508027889,0.00023252179889741834,-0.980998697057359,0.011557056172799444,-9.809903594407327,0.0,0.0,36.0,0.0
0.11,5.9999929997236725,-0.05935046444548876,-0.00037335188077875474,-1.079097329371981,-0.016774715936989936,-9.809829949641887,11.999999939796092,-0.05935050000000003,-6.999214862582638e-06,-1.0791,-0.00041279211072780826,-9.809999999997533,18.0,-0.05935049999999991,7.13253691666093e-16,-1.0790999999999982,-1.1990408920061575e-13,-9.81,24.000000060203906,-0.05935050000000003,6.999214857173954e-06,-1.0791,0.00041279211088768026,-9.809999999997533,30.000007000276327,-0.05935046444548876,0.0003733518807824322,-1.0790973293719817,0.01677471593698994,-9.809829949641887,0.0,0.0,36.0,0.0
0.12,5.999988259585652,-0.07063192045783509,-0.0005734914334526079,-1.1771949831434816,-0.023542513828743637,-9.809714676847609,11.99999984137836,-0.07063199999991294,-1.272962338097871e-05,-1.1771999999970992,-0.0006853902641413095,-9.809999999990788,18.0,-0.07063199999999996,1.7487607055477786e-15,-1.1772,1.199040900476487e-13,-9.81,24.000000158621642,-0.07063199999991294,1.2729623374634088e-05,-1.1771999999970992,0.0006853902640613736,-9.809999999990788,30.00001174041435,-0.07063192045783509,0.0005734914334550913,-1.1771949831434816,0.023542513828583758,-9.80971467684761,0.0,0.0,36.0,0.0
0.13,5.999981047369522,-0.08289433387050836,-0.0008497390513590704,-1.275291023953775,-0.032097872963334065,-9.809541102533807,11.999999674394077,-0.08289449999961422,-2.2497895363135327e-05,-1.27529999998819,-0.00109808511815818,-9.809999999969056,18.0,-0.08289449999999997,2.37574134835901e-15,-1.2753,1.1990410021204406e-13,-9.81,24.000000325605924,-0.08289449999961422,2.24978953577477e-05,-1.27529999998819,0.0010980851180382766,-9.809999999969056,30.00001895263048,-0.08289433387050836,0.0008497390513591413,-1.275291023953775,0.032097872963254115,-9.809541102533807,0.0,0.0,36.0,0.0
0.14,5.999970650177663,-0.09613770761679938,-0.0012217244632256735,-1.373385080066525,-0.042716963918724496,-9.809287890814337,11.999999415118928,-0.0961379999993329,-3.7074785441274904e-05,-1.373399999981888,-0.001690803612053839,-9.809999999915897,18.0,-0.09613799999999997,2.696654157877701e-15,-1.3734000000000002,2.398082004240881e-13,-9.81,24.000000584881075,-0.0961379999993329,3.70747854377607e-05,-1.373399999981888,0.0016908036116541573,-9.809999999915897,30.000029349822338,-0.09613770761679938,0.0012217244632228186,-1.3733850800665253,0.042716963918844414,-9.809287890814339,0.0,0.0,36.0,0.0
0.15,5.999956074894657,-0.11036202586534051,-0.001711604523250333,-1.4714763602859582,-0.05567307132702523,-9.80892858272603,11.999999004042731,-0.11036249999921668,-5.809134376083439e-05,-1.471499999982577,-0.002515991449461135,-9.80999999979646,18.0,-0.11036249999999995,2.848776153681301e-15,-1.4715,1.9984021219516396e-13,-9.81,24.000000995957272,-0.11036249999921668,5.809134375920133e-05,-1.471499999982577,0.0025159914491413894,-9.80999999979646,30.000043925105345,-0.11036202586534054,0.001711604523244666,-1.471476360285958,0.05567307132702526,-9.808928582726034,0.0,0.0,36.0,0.0
0.16,5.999936022670519,-0.12556725161607082,-0.0023440777881649348,-1.5695636117319192,-0.07123353200129383,-9.808430961761179,11.999998344255927,-0.12556799999930546,-8.816731935860556e-05,-1.5695999999894863,-0.0036399504828936295,-9.8099999995336,18.0,-0.12556799999999996,2.9358427972720258e-15,-1.5696,1.1990414086962553e-13,-9.81,24.000001655744075,-0.12556799999930546,8.816731935823292e-05,-1.5695999999894863,0.003639950482733755,-9.8099999995336,30.000063977329482,-0.12556725161607085,0.0023440777881570105,-1.5695636117319187,0.0712335320012139,-9.80843096176118,0.0,0.0,36.0,0.0
0.17,5.999908888920693,-0.14175332670023572,-0.003146384517235325,-1.6676451198398703,-0.08965962075855377,-9.80775638101428,11.999997301449577,-0.14175449999953105,-0.00013091116016273466,-1.6676999999966873,-0.005142838714496932,-9.809999998962672,18.0,-0.14175449999999995,3.0280479920768514e-15,-1.6677,1.1990419507973415e-13,-9.81,24.000002698550425,-0.14175449999953105,0.00013091116016265353,-1.6676999999966873,0.005142838714297087,-9.809999998962672,30.000091111079307,-0.14175332670023577,0.0031463845172259547,-1.6676451198398698,0.08965962075863376,-9.80775638101428,0.0,0.0,36.0,0.0
0.18,5.999872763326056,-0.15892017178038725,-0.004148306672261314,-1.7657187083608925,-0.11120641594332518,-9.806859067790278,11.999995703915364,-0.1589219999997174,-0.00019092001299272264,-1.7657999999930964,-0.00711867029701259,-9.809999997752422,18.0,-0.15892199999999987,3.1620440834475135e-15,-1.7657999999999996,1.0842021724855044e-19,-9.81,24.000004296084636,-0.1589219999997174,0.00019092001299189607,-1.7657999999930964,0.007118670296892685,-9.809999997752422,30.000127236673944,-0.15892017178038736,0.0041483066722513805,-1.7657187083608918,0.11120641594348502,-9.806859067790276,0.0,0.0,36.0,0.0
0.19,5.9998254298329154,-0.17706768635038408,-0.005382167917576687,-1.8637817393616856,-0.1361226431153257,-9.805685406455007,11.999993342545592,-0.17707049999958066,-0.00027377972355942546,-1.8638999999624746,-0.009675315535649483,-9.809999995275659,18.0,-0.17707049999999983,3.3409418586605137e-15,-1.8638999999999997,1.199043034999514e-13,-9.81,24.00000665745441,-0.17707049999958066,0.0002737797235570288,-1.8638999999624746,0.009675315535529576,-9.809999995275659,30.000174570167086,-0.17706768635038433,0.005382167917566957,-1.8637817393616847,0.13612264311520583,-9.80568540645501,0.0,0.0,36.0,0.0
0.2,5.999764366653011,-0.19619574873539136,-0.006882833620049182,-1.961831113224566,-0.16465049535744303,-9.804173200409432,11.999989970833186,-0.19619999999872886,-0.0003860648364650534,-1.9619999998834254,-0.012934500891991146,-9.809999990409333,18.0,-0.19619999999999976,3.5343105469171086e-15,-1.961999999999999,1.199043034999514e-13,-9.81,24.000010029166816,-0.19619999999872886,0.0003860648364607543,-1.9619999998834254,0.012934500891751327,-9.809999990409333,30.00023563334699,-0.19619574873539164,0.006882833620040124,-1.9618311132245645,0.16465049535756293,-9.804173200409432,0.0,0.0,36.0,0.0
0.21,5.99968674626351,-0.21630421609188066,-0.008687710849080505,-2.0598632686474696,-0.1970254286616829,-9.802250914173955,11.999985304871691,-0.21631049999666224,-0.0005353385952031711,-2.060099999729398,-0.01703180898975498,-9.809999981239796,18.0,-0.21631049999999968,3.678177819343328e-15,-2.0600999999999985,1.199045203403859e-13,-9.809999999999999,24.00001469512831,-0.21631049999666224,0.0005353385951974102,-2.060099999729398,0.01703180898955514,-9.809999981239796,30.00031325373649,-0.2163042160918811,0.008687710849072102,-2.059863268647468,0.19702542866176298,-9.802250914173955,0.0,0.0,36.0,0.0
0.22,5.999589426817699,-0.23739291120321962,-0.010836058819697368,-2.1578740134004173,-0.23347758463757806,-9.79983691887377,11.999978978105576,-0.23740199998811554,-0.0007306782032060993,-2.158199999334292,-0.022111764020108126,-9.809999964596821,18.0,-0.2374019999999999,3.81164675168431e-15,-2.158200000000001,7.993692513474926e-14,-9.809999999999995,24.000021021894426,-0.23740199998811554,0.0007306782031998777,-2.158199999334292,0.022111764019868294,-9.809999964596821,30.0004105731823,-0.23739291120321962,0.010836058819689194,-2.1578740134004177,0.23347758463781787,-9.799836918873767,0.0,0.0,36.0,0.0
0.23,5.999468817062952,-0.2594615675750088,-0.013367261814437075,-2.255857653675876,-0.274227115617974,-9.79683906790335,11.999970342418683,-0.2594744999548249,-0.0009843929835782446,-2.2562999981940783,-0.028312067300981472,-9.80999993514627,18.0,-0.25947449999999983,4.5426622265673285e-15,-2.256300000000003,1.199053877021239e-13,-9.809999999999974,24.00002965758132,-0.2594744999548249,0.0009843929835706422,-2.2562999981940783,0.028312067300821586,-9.80999993514627,30.00053118293705,-0.2594615675750088,0.013367261814429229,-2.2558576536758763,0.2742271156179339,-9.796839067903354,0.0,0.0,36.0,0.0
0.24,5.999320822444635,-0.2825099234991008,-0.016327648381054275,-2.3538081612202224,-0.31945446720735876,-9.793154195553145,11.999958854290801,-0.2825279999140302,-0.0013070423140732691,-2.354399996816883,-0.03581316985145664,-9.80999988467901,18.0,-0.2825279999999997,5.616954019703565e-15,-2.3544000000000063,-1.199049540212549e-13,-9.80999999999993,24.000041145709197,-0.2825279999140302,0.001307042314063782,-2.354399996816883,0.035813169851736465,-9.80999988467901,30.000679177555366,-0.2825099234991008,0.016327648381046618,-2.353808161220223,0.31945446720715887,-9.793154195553146,0.0,0.0,36.0,0.0
