t,r0_x,r0_y,r1_x,r1_y,rdot1_x,rdot1_y,rddot1_x,rddot1_y,r2_x,r2_y,rdot2_x,rdot2_y,rddot2_x,rddot2_y,r3_x,r3_y,rdot3_x,rdot3_y,rddot3_x,rddot3_y,r4_x,r4_y
0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,-9.81,14.0,0.0,0.0,0.0,0.0,-9.81,21.0,0.0,0.0,0.0,0.0,-9.81,28.0,0.0
0.01,0.0,0.0,6.999999999996046,-0.0004904999999998717,-2.3938548890787822e-09,-0.09809999999988626,-1.2023976581059114e-06,-9.809999999915727,14.0,-0.0004905,-2.1772602671892492e-16,-0.09810000000000006,0.0,-9.81,21.000000000003954,-0.0004904999999998717,2.3938551409657728e-09,-0.09809999999988626,1.2023976581059116e-06,-9.809999999915727,28.0,0.0
0.02,0.0,0.0,6.999999964072905,-0.0019619992418784607,-8.155495497667423e-07,-0.19619997754618657,-1.421741086418375e-05,-9.809999995310175,14.0,-0.0019619999999999803,1.3084470967072316e-15,-0.19619999999999613,-5.440092905366562e-14,-9.81,21.000000035927094,-0.001961999241878461,8.155495471590788e-07,-0.19619997754618657,1.4217410972985606e-05,-9.809999995310175,28.0,0.0
0.03,0.0,0.0,6.999999890777437,-0.004414497551512454,-2.822462810329973e-06,-0.29429993335494475,-8.214775824309003e-05,-9.809999943372507,14.0,-0.004414499999999933,3.5838474907626665e-15,-0.29429999999998735,1.0880186149546302e-13,-9.809999999999995,21.000000109222565,-0.004414497551512455,2.8224628028775325e-06,-0.29429993335494475,8.214775802548626e-05,-9.809999943372507,28.0,0.0
0.04,0.0,0.0,6.9999998377722745,-0.007847996261672888,-5.666237567416616e-06,-0.39239991025829923,-0.00028524306903874696,-9.809999667470295,14.0,-0.007847999999999895,5.865044188533618e-15,-0.3923999999999809,-5.4400929900698565e-14,-9.809999999999988,21.000000162227725,-0.007847996261672891,5.66623755483902e-06,-0.39239991025829923,0.0002852430691475488,-9.809999667470295,28.0,0.0
0.05,0.0,0.0,6.999999806959519,-0.012262496048751416,-1.0651465883869011e-05,-0.4904999219240682,-0.0007248166903447745,-9.809998706605276,14.0,-0.012262499999999886,7.635930804451e-15,-0.49049999999998095,0.0,-9.809999999999985,21.00000019304048,-0.012262496048751424,1.0651465867149382e-05,-0.4904999219240682,0.0007248166903447745,-9.809998706605276,28.0,0.0
0.06,0.0,0.0,6.999999743297598,-0.01765799690919063,-2.076871732366372e-05,-0.5885999521146932,-0.0015230786119625654,-9.809996112597446,14.0,-0.01765799999999992,8.592120785902309e-15,-0.588599999999989,1.0880186657766071e-13,-9.809999999999985,21.000000256702403,-0.017657996909190645,2.076871730456431e-05,-0.5885999521146931,0.0015230786116361599,-9.809996112597446,28.0,0.0
0.07,0.0,0.0,6.999999534801277,-0.02403449815948407,-4.0694538951911535e-05,-0.6866999546872389,-0.0028231325344666423,-9.809990194966364,14.0,-0.024034499999999993,8.6409474132316e-15,-0.6867000000000039,5.440093498289625e-14,-9.809999999999983,21.000000465198724,-0.024034498159484094,4.069453893248936e-05,-0.6866999546872389,0.002823132534303439,-9.809990194966364,28.0,0.0
0.08,0.0,0.0,6.99999901254165,-0.03139199843617619,-7.679145533485746e-05,-0.7847998535933931,-0.004788970730492213,-9.809978213533793,14.0,-0.031392000000000087,7.90146379973953e-15,-0.784800000000021,0.0,-9.80999999999997,21.00000098745835,-0.031391998436176224,7.679145531697991e-05,-0.7847998535933932,0.004788970730492212,-9.809978213533793,28.0,0.0
0.09,0.0,0.0,6.999997950646146,-0.03973049569586239,-0.00013710796853988065,-0.8828995428794671,-0.0076054658364987475,-9.809956018779099,14.0,-0.03973050000000017,6.704442891683294e-15,-0.8829000000000332,-5.4400982416741295e-14,-9.809999999999825,21.000002049353853,-0.039730495695862435,0.00013710796852474115,-0.8828995428794673,0.007605465836607549,-9.809956018779099,28.0,0.0
0.1,0.0,0.0,6.999996066298526,-0.04904998721518904,-0.00023137855813549468,-0.9809988866863956,-0.011478358573220134,-9.809917639996828,14.0,-0.049050000000000225,5.592377468276708e-15,-0.981000000000031,1.0880196483348259e-13,-9.809999999998995,21.000003933701475,-0.0490499872151891,0.00023137855812312835,-0.9809988866863959,0.01147835857305693,-9.809917639996828,28.0,0.0
0.11,0.0,0.0,6.9999930197388816,-0.05935046959085335,-0.0003710236811913468,-1.0790977192497355,-0.01663424024468305,-9.809854821329628,14.0,-0.05935050000000017,5.319480141690094e-15,-1.0791000000000006,5.440103662684992e-14,-9.809999999995755,21.00000698026112,-0.05935046959085342,0.00037102368118014593,-1.0790977192497362,0.016634240244574244,-9.80985482132963,28.0,0.0
0.12,0.0,0.0,6.99998823096653,-0.07063192207691517,-0.0005689967954631391,-1.1771956140883102,-0.023294856666087865,-9.809756635405336,14.0,-0.07063199999931559,6.5356344488727225e-15,-1.1771999999785636,-1.0842021724855044e-19,-9.80999999998166,21.00001176903347,-0.07063192207691517,0.0005689967954502476,-1.1771956140883102,0.023294856666087868,-9.809756635405336,28.0,0.0
0.13,0.0,0.0,6.999980748072718,-0.08289431055866019,-0.0008410776666457188,-1.2752918632188543,-0.031658639612780794,-9.809609137194252,14.0,-0.08289449999676665,8.572069796295353e-15,-1.2752999999037298,-5.440114504706717e-14,-9.80999999992706,21.00001925192728,-0.08289431055866019,0.0008410776666300033,-1.2752918632188543,0.0316586396128896,-9.809609137194252,28.0,0.0
0.14,0.0,0.0,6.9999700201638255,-0.096137659846423,-0.0012069993114695056,-1.3733864055058986,-0.042008930430542823,-9.809394226985441,14.0,-0.096137999993918,1.0880936259301415e-14,-1.3733999998309727,0.0,-9.80999999979605,21.000029979836174,-0.09613765984642297,0.001206999311450483,-1.3733864055058986,0.042008930430542823,-9.809394226985441,28.0,0.0
0.15,0.0,0.0,6.999955212410315,-0.11036197478249125,-0.0016886133889484395,-1.4714787709923005,-0.05461799312664107,-9.809089458858049,14.0,-0.11036249999198947,1.3037798631966368e-14,-1.4714999997992821,1.6320495302424298e-13,-9.809999999529547,21.000044787589687,-0.11036197478249123,0.0016886133889260717,-1.4714787709923007,0.05461799312631466,-9.809089458858052,28.0,0.0
0.16,0.0,0.0,6.999935158508639,-0.1255672353296116,-0.002309803045576402,-1.5695680147409867,-0.06974028338995047,-9.808667554974265,14.0,-0.12556799999165735,1.4699622126647417e-14,-1.5695999998247259,5.440092820663267e-14,-9.809999999008372,21.000064841491362,-0.12556723532961156,0.0023098030455510395,-1.5695680147409867,0.06974028338984165,-9.808667554974265,28.0,0.0
0.17,0.0,0.0,6.99990836068124,-0.14175339657098943,-0.0030964829153272123,-1.6676527168349509,-0.08761236137594043,-9.808095881407114,14.0,-0.1417544999930543,1.560477237398352e-14,-1.6676999999004494,5.4404397653584624e-14,-9.80999999797769,21.00009163931876,-0.1417533965709894,0.0030964829152995334,-1.6676527168349509,0.08761236137577721,-9.808095881407116,28.0,0.0
0.18,0.0,0.0,6.999872989676549,-0.15892038871028896,-0.004076599119654627,-1.7657309823772556,-0.10845278941922237,-9.807335914201024,14.0,-0.1589219999957694,1.5573015422895366e-14,-1.7657999999966745,-1.088053258602173e-13,-9.809999995907077,21.00012701032345,-0.15892038871028896,0.004076599119625582,-1.7657309823772556,0.10845278941944003,-9.807335914201023,28.0,0.0
0.19,0.0,0.0,6.999826884768982,-0.1770681170716335,-0.005280129267492349,-1.863800441491033,-0.1324620138784243,-9.806342696170647,14.000000000000002,-0.17707049999884827,1.450551774058539e-14,-1.8639000000607033,-2.7201851882097117e-13,-9.809999991749784,21.000173115231018,-0.17706811707163356,0.005280129267463105,-1.8638004414910332,0.13246201387869633,-9.806342696170647,28.0,0.0
0.2,0.0,0.0,6.999767553758948,-0.19619646209960495,-0.0067390824552540154,-1.9618582493194823,-0.15982223034095816,-9.805064284999307,14.000000000000002,-0.19620000000079274,1.2384846212537795e-14,-1.962000000016913,-3.808342530220443e-13,-9.80999998355311,21.00023244624105,-0.19619646209960506,0.0067390824552258895,-1.9618582493194827,0.15982223034150222,-9.805064284999302,28.0,0.0
0.21,0.0,0.0,6.999692172972844,-0.2163052793592441,-0.008487499266833195,-2.0599010860258717,-0.1906972314469308,-9.803441193254002,14.000000000000002,-0.2163104999995612,9.27496814251853e-15,-2.0600999997667597,-4.352490590164848e-13,-9.80999996786033,21.000307827027154,-0.2163052793592443,0.008487499266807606,-2.059901086025872,0.19069723144758366,-9.803441193253995,28.0,0.0
0.22,0.0,0.0,6.999597587263052,-0.23739439953605088,-0.010561451773603413,-2.1579251567935387,-0.22523223662744485,-9.801405820988869,14.000000000000002,-0.23740199999256845,5.321251252575228e-15,-2.1581999991887777,-3.8085506970375604e-13,-9.809999938833107,21.000402412736946,-0.23739439953605115,0.010561451773581823,-2.157925156793539,0.22523223662793457,-9.801405820988863,28.0,0.0
0.23,0.0,0.0,6.999480310007947,-0.25946362843598375,-0.012999043534418124,-2.255926191825888,-0.26355370308632076,-9.798881881662968,14.000000000000002,-0.2594744999766857,7.504636830373631e-16,-2.2562999981385774,-2.1765228508385803e-13,-9.809999887011768,21.000519689992053,-0.2594636284359841,0.01299904353440197,-2.255926191825888,0.26355370308653847,-9.798881881662968,28.0,0.0
0.24,0.0,0.0,6.9993365231118885,-0.28251274698546014,-0.01584040959561071,-2.353899446346393,-0.30576911739401946,-9.795783822151007,14.000000000000002,-0.28252799994824046,-4.1292260074838944e-15,-2.3543999964488487,-3.264749581788351e-13,-9.809999797619412,21.00066347688811,-0.2825127469854606,0.015840409595601356,-2.353899446346393,0.3057691173944004,-9.795783822151005,28.0,0.0
0.25,0.0,0.0,6.999162262815,-0.3065414273904439,-0.019118155453862182,-2.451838848138802,-0.3519924992433219,-9.79201568639806,14.000000000000002,-0.30656249967158206,-9.933732114463765e-15,-2.4524999882109744,-5.985628659388453e-13,-9.809999646981566,21.000837737184995,-0.306541427390444,0.019118155453861987,-2.451838848138802,0.35199249924435594,-9.79201568639804,28.0,0.0
0.26,0.0,0.0,6.998953137908724,-0.33154927117129523,-0.022865492019697585,-2.5497367862519553,-0.40230474750858225,-9.78747123248761,14.000000000000002,-0.3315779989959394,-1.724735461118139e-14,-2.5505999704718074,-5.986044993022688e-13,-9.809999398608493,21.001046862091272,-0.33154927117129535,0.022865492019709124,-2.549736786251955,0.4023047475095074,-9.787471232487594,28.0,0.0
0.27,0.0,0.0,6.998703945824408,-0.3575359140333354,-0.027133184515021294,-2.647585411068284,-0.45670000651079445,-9.782034797694678,14.000000000000002,-0.3575744982281537,-2.4755121587351847e-14,-2.6486999513955394,-3.265721026934898e-13,-9.809999000040925,21.00129605417559,-0.3575359140333355,0.02713318451504497,-2.6475854110682837,0.4567000065111755,-9.782034797694676,28.0,0.0
0.28,0.0,0.0,6.998409116295187,-0.38450084652890093,-0.031969168554329755,-2.745375269604472,-0.5151468389127585,-9.775579686443793,14.000000000000002,-0.3845519975515666,-3.140604187429087e-14,-2.746799934913547,-3.809869086879303e-13,-9.809998372863038,21.00159088370481,-0.38450084652890104,0.03196916855436423,-2.7453752696044713,0.5151468389132483,-9.775579686443788,28.0,0.0
